ward,total,win_num,anc,da,reg
21504005,1709,1434,1434,113,3081
21504006,1742,1148,1148,388,3419
21504007,1858,1669,1669,59,3494
21504008,1816,1171,1171,72,3007
21504009,1695,1562,1562,33,2923
21504010,2230,1030,1030,72,3672
21504011,2058,1914,1914,58,3602
21504012,2229,1972,1972,15,3867
21504013,1582,1522,1522,8,2962
21504014,1741,973,973,21,3177
21504015,1664,1572,1572,30,3090
21504016,1818,1646,1646,63,2977
21504017,2148,1921,1921,22,3598
21504018,1791,1727,1727,7,3383
21504019,1852,1724,1724,17,3275
21504020,1935,1750,1750,26,3674
21505001,2522,2341,2341,5,4263
21505002,2118,2053,2053,18,3342
21505003,2050,1592,1592,7,3542
21505004,2063,1781,1781,59,3751
21505005,2341,2243,2243,10,3828
21505006,2186,1847,1847,67,3902
21505007,1733,1295,1295,193,3495
21505008,1712,1492,1492,35,3658
21505009,1957,1648,1648,41,3763
21505010,2113,1236,1236,28,4308
21505011,1517,1091,1091,38,3369
21505012,1746,1004,1004,48,4047
21505013,2062,1403,1403,34,3872
21505014,1954,1723,1723,34,3881
21505015,2225,1886,1886,64,4299
21505016,2011,1916,1916,16,3561
21505017,2106,1899,1899,14,4312
21505018,2058,1963,1963,19,3619
21505019,2485,2375,2375,14,4190
21505020,2237,1949,1949,55,4088
21505021,1643,1379,1379,69,3319
21505022,2155,1859,1859,9,4223
21505023,2196,2074,2074,15,3938
21505024,1723,1423,1423,77,3293
21505025,2203,1263,1263,603,3764
21505026,2230,1956,1956,16,4395
21505027,1882,1697,1697,15,2969
21505028,2068,1984,1984,6,3317
21505029,2008,1654,1654,59,4193
21505030,2355,1986,1986,171,4170
21505031,2299,2120,2120,12,3968
21506001,2015,1837,1837,0,3387
21506002,1400,1189,1189,0,3169
21506003,1881,1658,1658,0,3590
21506004,1767,1476,1476,0,3521
21506005,1933,1635,1635,0,3724
21506006,1633,1411,1411,0,3526
21506007,2267,1922,1922,0,3873
21506008,1913,1742,1742,0,3382
21506009,1756,1438,1438,0,2993
21506010,1995,1898,1898,0,3209
21506011,2206,1961,1961,0,3387
21506012,2293,2097,2097,0,3989
21506013,2501,2298,2298,0,4105
21506014,2288,2031,2031,0,3810
21506015,1936,1601,1601,0,3810
21506016,1937,1765,1765,0,3497
21506017,2045,1662,1662,0,3693
21506018,2046,1821,1821,0,3601
21506019,1754,1600,1600,0,3100
21506020,1830,1700,1700,0,3229
21506021,1770,1671,1671,0,3036
21506022,1903,1756,1756,0,3106
21506023,1940,1850,1850,0,3137
21506024,1994,1862,1862,0,3560
21506025,2156,1887,1887,0,3909
21506026,1729,1519,1519,0,3025
21507001,2305,1476,1476,116,5141
21507002,2161,1289,1289,108,5741
21507003,2451,1507,1507,93,5837
21507004,2728,1859,1859,135,5391
21507005,1522,1042,1042,134,5999
21507006,1913,1053,1053,401,4912
21507007,1600,972,972,146,4881
21507008,1709,1115,1115,151,5544
21507009,2036,1089,1089,166,4573
21507010,2564,1810,1810,49,5183
21507011,2382,1291,1291,118,6268
21507012,1776,1175,1175,77,4749
21507013,2192,1439,1439,158,4887
21507014,2464,1673,1673,37,4987
21507015,2497,2098,2098,33,5108
21507016,2831,1909,1909,63,5403
21507017,2990,2707,2707,13,5567
21507018,3110,2631,2631,15,5861
21507019,2738,2092,2092,33,5483
21507020,3163,2318,2318,28,6089
21507021,3341,1656,1656,12,6104
21507022,3477,1720,1644,4,6300
21507023,3442,1879,1879,11,6336
21507024,4045,1207,1174,22,6861
21507025,3584,2316,2316,5,6423
21507026,2547,1417,1417,18,4859
21507027,3363,2369,2369,7,6081
21507028,3155,2371,2371,24,6057
21507029,3666,2126,2126,25,6382
21507030,2140,1574,1574,119,5165
21507031,2645,2075,2075,25,5132
21507032,3180,2349,2349,59,6315
21507033,2298,1358,1358,102,4866
21507034,2324,1831,1831,85,4873
21507035,2695,1728,1728,49,5282
24401001,1669,1101,1101,108,3598
24401002,2372,1644,1644,156,4049
24401003,2279,1748,1748,34,3765
24401004,2071,1438,1438,35,3515
24401005,1992,1421,1421,23,3160
24401006,1719,1299,1299,114,2888
24401007,2144,1754,1754,11,3815
24401008,1930,1472,1472,56,3486
24401009,1967,1118,1118,23,3302
24401010,2224,1521,1521,47,3675
24401011,2515,1880,1880,58,3943
24401012,2379,1388,1388,21,3846
24401013,2241,1673,1673,36,3506
24401014,1826,1375,1375,86,3008
24401015,1889,1025,1025,58,3107
24401016,1792,1509,1509,26,3071
24401017,2315,1525,1525,46,3681
24401018,2401,1745,1745,14,3352
24401019,1469,656,656,529,3491
24401020,2143,1479,1479,185,3744
24401021,2095,1690,1690,11,3213
24401022,1926,1407,1407,35,3224
24401023,2259,1682,1682,352,3581
24401024,1994,1596,1596,31,3187
24401025,2081,993,993,73,3406
24401026,2161,1647,1647,313,3243
24402001,2227,1867,1867,22,3217
24402002,1521,1375,1375,6,2646
24402003,2118,1872,1872,29,3535
24402004,2029,1590,1590,121,3333
24402005,1801,1575,1575,35,2942
24402006,1954,1091,1091,198,3047
24402007,1750,1260,1260,81,3358
24402008,1803,1546,1546,83,3086
24402009,1769,1382,1382,31,3204
24402010,2117,1775,1775,31,3882
24402011,2310,1277,1277,49,3877
24402012,1883,1607,1607,36,3808
24402013,1614,1432,1432,7,3264
24402014,2150,1894,1894,71,3810
24402015,1834,1498,1498,13,3233
24402016,1566,1105,1105,54,3520
24402017,1368,1012,1012,34,2942
24402018,992,750,750,47,3142
24402019,1921,1454,1454,96,3693
24402020,1848,1534,1534,30,3650
24402021,1864,1546,1546,42,3585
24402022,1828,1604,1604,31,3395
24402023,2207,1779,1779,33,3864
24402024,2420,1582,1582,169,3886
24402025,1907,1634,1634,11,3675
24402026,2106,1865,1865,48,3526
24402027,1550,1000,1000,64,2919
24403001,1704,1372,1372,34,3719
24403002,1717,1529,1529,12,3555
24403003,1976,1760,1760,30,3349
24403004,1718,1306,1306,21,3197
24403005,2069,1814,1814,21,3371
24403006,2424,1730,1730,40,4313
24403007,1834,1470,1470,26,3299
24403008,2258,1924,1924,44,4066
24403009,2884,2479,2479,63,4875
24403010,1809,1504,1504,88,3862
24403011,1922,1759,1759,11,3743
24403012,2026,1822,1822,8,3262
24403013,2264,1716,1716,80,4061
24403014,2294,1679,1679,273,3994
24403015,2369,1917,1917,35,4007
24403016,1680,1341,1341,78,3636
24403017,2430,2083,2083,68,4350
24403018,2362,2026,2026,15,4076
24403019,3315,2542,2542,39,4462
24403020,2184,1762,1762,26,4085
24403021,2150,1602,1602,15,3520
24403022,2356,1974,1974,81,3998
24403023,2207,1936,1936,60,3781
24403024,1740,1181,1181,56,3146
24403025,2430,2028,2028,12,4139
24403026,1922,1585,1585,26,3257
24403027,1803,1555,1555,11,3380
24403028,2188,1926,1926,60,3785
24403029,2114,1651,1651,25,3511
24403030,1859,1553,1553,29,3413
24403031,1954,1445,1445,42,3505
24404001,1731,1643,1643,8,3014
24404002,1849,1652,1652,9,3492
24404003,1832,1439,1439,29,3130
24404004,1748,1603,1603,8,3119
24404005,1634,1464,1464,6,3060
24404006,1793,1429,1429,16,3489
24404007,2025,1347,1347,131,3751
24404008,1876,1679,1679,2,3364
24404009,1586,1203,1203,59,3212
24404010,1556,1360,1360,21,2988
24404011,1740,1337,1337,29,3098
24404012,1712,1545,1545,21,3211
24404013,2040,1611,1611,41,3575
24404014,2047,1766,1766,20,3689
24404015,1694,1619,1619,33,2954
24404016,1966,1900,1900,11,3579
24404017,1686,1414,1414,212,3497
24404018,1844,1673,1673,14,3744
29200001,3728,2508,2508,862,6708
29200002,3660,3033,3033,167,6873
29200003,2763,1465,1081,1465,7210
29200004,5331,4690,444,4690,7762
29200005,4605,3824,3824,126,8054
29200006,3823,2618,2618,807,6518
29200007,3877,3427,3427,101,7320
29200008,3635,2710,2710,172,6736
29200009,4666,2754,2754,1498,9063
29200010,4491,2183,1932,2183,7955
29200011,4659,3588,3588,67,8177
29200012,5029,4265,4265,102,8400
29200013,4971,3939,3939,184,8017
29200014,3511,2824,2824,51,6374
29200015,4936,3121,1559,3121,8202
29200016,4859,2334,2334,2025,8430
29200017,4152,3321,3321,91,7543
29200018,4346,3729,451,3729,6928
29200019,3536,2506,783,2506,6393
29200020,3562,2632,2632,62,6614
29200021,4487,3743,3743,136,7855
29200022,4775,3875,3875,102,8363
29200023,4256,3135,3135,380,7723
29200024,4466,3221,3221,40,8332
29200025,3476,2651,2651,188,7448
29200026,5506,5040,5040,114,8517
29200027,5761,4676,842,4676,8845
29200028,5392,3174,3174,1722,8382
29200029,4955,2680,2680,1813,8597
29200030,3943,3042,3042,80,6633
29200031,5460,3610,3610,1303,8626
29200032,5367,4999,4999,54,8554
29200033,5188,4629,4629,71,8750
29200034,4461,3690,3690,328,7864
29200035,4254,2806,2806,897,7559
29200036,4667,3916,3916,193,8411
29200037,3342,2059,2059,825,6674
29200038,4026,3359,3359,143,7840
29200039,4084,3318,3318,169,7672
29200040,3930,3397,3397,111,6798
29200041,4229,3313,3313,313,8093
29200042,4126,3491,3491,94,7833
29200043,4406,3340,3340,166,8733
29200044,5008,2943,2943,1478,8501
29200045,4128,3362,3362,347,7152
29200046,5039,2440,2440,2165,8990
29200047,2391,1283,1283,865,7087
29200048,3823,3227,3227,73,6642
29200049,3883,3270,3270,142,6722
29200050,3587,3037,3037,65,6437
29300001,6179,5583,459,5583,10125
29300002,6345,5358,790,5358,11155
29300003,7322,6726,430,6726,10663
29300004,5072,4431,4431,257,10605
29300005,4997,4259,570,4259,8661
29300006,7028,6557,293,6557,9490
29300007,6037,5524,326,5524,8831
29300008,8759,8375,220,8375,12081
29300009,7790,7297,298,7297,10272
29300010,6745,5966,528,5966,10246
29300011,5676,4890,537,4890,9311
29300012,7451,6300,814,6300,10818
29300013,6255,4877,1057,4877,9205
29300014,5604,4632,4632,185,8857
29300015,5595,4817,4817,90,8642
29300016,4503,3898,3898,80,7584
29300017,5020,4298,4298,109,8083
29300018,5510,4905,4905,103,8914
29300019,4912,4130,4130,93,8077
29300020,4808,4196,4196,84,7984
29300021,5115,4555,4555,83,8008
29300022,5238,4468,4468,91,8227
29300023,5404,4489,4489,133,8693
29300024,5739,4926,4926,75,8977
29300025,5266,4307,4307,88,8627
29300026,5254,4625,4625,74,7794
29300027,5041,4590,4590,60,7513
29300028,6487,5447,5447,95,10253
29300029,5678,4208,1233,4208,8867
29300030,5265,3878,3878,180,8972
29300031,6350,4270,1742,4270,9608
29300032,7138,4297,2542,4297,10427
29300033,6196,4656,4656,747,9352
29300034,6577,5365,887,5365,10347
29300035,5830,4999,591,4999,9245
29300036,4610,3749,3749,176,8315
29300037,5423,3424,1625,3424,8278
29300038,5210,2464,2416,2464,8029
29300039,8145,7326,581,7326,11493
29300040,6372,3360,2530,3360,9943
29300041,9099,6442,6442,2125,14005
29300042,5493,4804,4804,46,8135
29300043,6458,4687,4687,102,7964
29300044,6193,4987,4987,87,9129
29300045,6290,4429,4429,880,9627
29300046,6554,4215,4215,1466,10784
29300047,6423,5179,5179,101,9243
29300048,4743,3056,1271,3056,7988
29300049,5480,4229,868,4229,8935
29300050,7119,4790,4790,1687,11592
29300051,6864,6221,414,6221,9685
29300052,8315,4745,3141,4745,10970
29300053,6312,4818,1221,4818,9504
29300054,7499,6758,6758,134,11377
29300055,6539,5798,5798,86,10538
29300056,7336,6468,6468,121,11618
29300057,5071,4431,4431,114,8286
29300058,6424,5655,5655,194,9729
29300059,5481,4519,4519,211,8836
29300060,6707,4324,4324,1908,10953
30601001,1052,621,621,311,1548
30601002,1051,609,609,360,1933
30601003,978,628,628,279,1653
30601004,1403,808,808,514,1962
30602001,1852,941,854,941,3005
30602002,2229,1305,1305,768,3312
30602003,1974,1039,1039,737,2878
30602004,1683,1180,438,1180,2494
30602005,1953,1222,1222,408,2763
30602006,2361,1147,1147,570,3430
30602007,2164,1214,1214,279,2702
30602008,1993,899,754,899,3301
30602009,2051,895,895,673,3380
30604001,1079,796,796,164,1529
30604002,1439,627,577,627,1934
30604003,1295,565,502,565,1816
30604004,1231,830,830,363,1659
30605001,1895,922,922,756,2678
30605002,1883,854,854,829,2802
30605003,1572,844,844,657,2294
30605004,1603,848,848,662,2346
30605005,1582,714,643,714,2210
30606001,1411,787,787,244,1943
30606002,1443,705,636,62,1787
30606003,823,459,144,459,1341
30606004,1233,638,638,262,1728
30607001,1294,845,845,109,1754
30607002,1279,699,699,42,1676
30607003,1249,743,743,120,1777
30607004,886,431,431,344,1666
30701001,1871,984,984,447,2686
30701002,1713,997,997,589,2351
30701003,1351,599,599,537,2126
30701004,1453,799,799,435,2006
30702001,2190,1145,1145,168,3076
30702002,1736,1160,1160,84,2754
30702003,1799,1642,1642,39,2339
30702004,2335,1419,1419,518,3378
30702005,1674,1196,1196,401,2407
30703001,2066,1044,1044,881,3714
30703002,2325,1238,1238,812,3785
30703003,1821,878,878,28,2576
30703004,1912,1240,1240,140,2648
30703005,2110,1400,610,1400,3449
30703006,1618,1159,1159,392,2746
30703007,2057,1064,1064,916,3321
30704001,1261,640,640,451,1795
30704002,1456,989,989,376,2149
30704003,927,428,428,406,1295
30704004,1225,894,894,296,1816
30705001,1006,503,503,360,1412
30705002,1693,1183,1183,185,2328
30705003,809,366,318,110,990
30705004,824,466,466,133,1376
30706001,1571,758,758,215,2131
30706002,1257,627,627,323,2118
30706003,1335,690,690,110,1883
30706004,1765,1225,1225,78,2322
30707001,1790,1463,1463,20,2449
30707002,2634,1388,1388,134,3521
30707003,1793,852,852,400,2629
30707004,1813,825,805,825,2707
30708001,1991,1118,1118,352,3155
30708002,1445,1028,1028,315,2837
30708003,1995,1639,1639,20,3339
30708004,1807,1180,1180,182,3505
30708005,1718,614,614,520,2924
30708006,1901,1229,1229,396,2685
30801001,198,104,104,65,309
30801002,1839,875,875,413,2357
30801003,1041,621,621,296,1386
30801004,719,354,321,354,943
30802001,1739,1220,1220,220,3170
30802002,1786,1234,1234,225,3229
30802003,1920,1059,1059,553,2881
30802004,1880,1022,1022,492,2864
30802005,1936,1110,1110,734,3030
30802006,2295,1497,1497,630,3281
30802007,1887,1081,1081,562,2742
30802008,1773,954,954,662,3156
30802009,2232,979,846,394,3296
30803001,2525,1415,1415,798,3685
30803002,2015,1256,1256,531,3415
30803003,2059,987,987,624,3209
30803004,1888,1108,1108,351,3172
30803005,2983,1662,1662,173,3913
30803006,2338,2072,2072,20,3352
30803007,1652,1400,1400,7,2536
30803008,2154,1444,556,1444,3662
30803009,2759,1995,571,1995,4100
30803010,2969,1888,1888,799,4057
30803011,2018,1331,1331,456,2708
30803012,2499,1716,1716,230,3502
30803013,2123,1891,1891,31,2701
30803014,2113,1486,1486,297,2944
30804001,1736,984,984,329,2272
30804002,1538,875,875,185,2239
30804003,1636,834,834,341,2420
30804004,1282,842,842,196,1741
30805001,1192,561,561,158,1975
30805002,1801,1401,1401,36,2964
30805003,2035,1238,1238,119,2749
30805004,1718,1071,1071,10,2606
30805005,2065,786,746,786,3371
30805006,1562,978,978,368,2746
30806001,1460,1276,1276,16,2035
30806002,1079,619,619,295,1719
30806003,1881,1133,1133,536,2769
30806004,953,548,548,316,2408
30901001,2560,1165,1165,1006,4285
30901002,2499,1136,1049,1136,4362
30901003,2330,1260,922,1260,3732
30901004,2503,2024,2024,101,3709
30901005,2499,2097,2097,43,3988
30901006,2169,1777,1777,50,3292
30901007,2676,2285,2285,67,4093
30901008,2960,1882,1882,879,4629
30901009,2448,2054,2054,79,3985
30901010,2446,2068,2068,81,3577
30901011,2345,2078,2078,65,3542
30901012,2017,1671,1671,48,3265
30901013,2642,2107,2107,124,4236
30901014,2045,1459,392,1459,3494
30901015,2186,1912,1912,55,3394
30901016,3435,3141,3141,68,4422
30901017,2610,2303,2303,84,3991
30901018,1626,1388,1388,34,2749
30901019,2170,1820,1820,55,3637
30901020,2279,1112,1005,1112,3824
30901021,2659,1838,671,1838,4352
30901022,2533,1083,1083,682,4182
30901023,2896,2364,380,2364,4463
30901024,2847,2428,246,2428,4407
30901025,2546,1336,1027,1336,4686
30901026,2475,2028,2028,334,3832
30901027,2039,1449,1449,326,3458
30901028,2538,1364,1038,1364,3944
30901029,982,641,641,188,2511
30901030,2700,1552,1552,689,4872
30901031,2717,2250,2250,92,4454
30902001,1766,1389,1389,35,2617
30902002,1851,864,864,820,2995
30902003,2432,1969,1969,135,3456
30902004,1932,1495,1495,222,3218
30902005,2062,1578,1578,305,3444
30902006,1648,1075,1075,450,2977
30902007,1749,1492,1492,90,2810
30903001,1671,1434,1434,53,2607
30903002,1374,1113,1113,93,1976
30903003,1339,1144,1144,46,2049
30903004,1980,1232,1232,528,3086
30903005,1149,582,516,582,2047
30904001,1994,1561,1561,56,3326
30904002,1962,1454,1454,49,3300
30904003,1689,1230,1230,103,2952
30904004,1617,973,973,289,3104
30904005,2342,1487,1487,456,3325
30904006,2124,1208,621,1208,3697
30904007,2298,2002,2002,135,3787
30904008,2050,1694,1694,195,3365
30904009,1695,1226,1226,373,3166
34501001,1970,1426,1426,126,3044
34501002,1776,1476,1476,81,3517
34501003,2174,1665,1665,128,3403
34501004,1625,1097,1097,443,3288
34501005,2320,2008,2008,76,3675
34501006,1983,1519,1519,23,3774
34501007,1679,1366,1366,49,3057
34501008,1667,1317,1317,91,3012
34501009,2091,1477,1477,28,3635
34501010,1777,1187,1187,49,2992
34501011,1578,1044,1044,28,2898
34501012,2175,1786,1786,71,3519
34501013,1756,1423,1423,40,3311
34501014,1725,1355,1355,59,3076
34501015,2022,1652,1652,24,3316
34502001,2059,1434,358,1434,3354
34502002,2373,2219,2219,62,3920
34502003,2097,1689,1689,83,3784
34502004,1537,1215,1215,76,2321
34502005,1422,1094,1094,48,2910
34502006,1907,1582,1582,51,3151
34502007,1950,1801,1801,9,3070
34502008,1881,1625,1625,21,3538
34502009,1717,1525,1525,43,3543
34502010,2309,2051,2051,47,3686
34502011,1800,1316,1316,88,2987
34502012,2653,2350,2350,63,4069
34502013,1996,1107,821,1107,3043
34503001,2528,1830,647,1830,4386
34503002,1749,1523,1523,80,3000
34503003,1669,1381,1381,196,3016
34503004,1769,989,989,433,3454
34503005,1358,1164,1164,97,3077
41601001,1659,1006,1006,397,2818
41601002,2062,1793,1793,85,3101
41601003,1658,1009,1009,494,2949
41601004,2106,1909,1909,45,3027
41601005,1675,1226,1226,265,2935
41601006,1966,1530,1530,286,3213
41602001,2179,1508,1508,468,3187
41602002,2136,1454,1454,377,3347
41602003,2412,1666,1666,349,3616
41602004,2114,1473,1473,395,3127
41602005,1752,1231,1231,198,2712
41602006,2190,814,814,234,2969
41602007,1825,1412,1412,319,2967
41602008,2074,1619,1619,296,3232
41603001,1945,1748,1748,75,3443
41603002,1864,1450,1450,326,2989
41603003,1554,1249,1249,181,2692
41603004,1179,1032,1032,103,2411
41603005,1645,1073,1073,401,2949
41603006,1936,1558,1558,207,3289
41604001,2095,1377,1377,522,3750
41604002,1460,1135,1135,137,3077
41604003,1716,1322,1322,251,3078
41604004,1715,1367,1367,178,3149
41801001,2044,1064,1064,783,3384
41801002,1861,1586,1586,189,3047
41801003,1902,1576,1576,145,3280
41801004,1822,1063,1063,587,3373
41801005,1495,1100,1100,255,3521
41801006,1516,922,922,392,3347
41801007,1723,1587,1587,64,2922
41801008,1865,1610,1610,83,3266
41801009,1646,1468,1468,91,3017
41801010,1553,1380,1380,77,2727
41802001,1772,1458,1458,230,3184
41802002,2190,1132,1132,385,3526
41802003,1661,1130,1130,239,2982
41802004,1398,1078,1078,105,2713
41803001,1782,1695,1695,39,3093
41803002,1817,1684,1684,52,3315
41803003,2087,1855,1855,78,3336
41803004,1952,1160,1160,665,3111
41803005,1369,972,972,303,2862
41803006,2010,1765,1765,26,3326
41803007,1658,1306,1306,19,2492
41803008,1728,1082,1082,458,2662
41804001,2909,2330,2330,438,5529
41804002,3594,3344,3344,83,6335
41804003,3460,1799,1799,1404,6034
41804004,3305,2866,2866,203,5354
41804005,3341,2818,2818,328,5466
41804006,2903,2632,2632,133,4777
41804007,3178,2644,2644,226,5756
41804008,2670,1608,1608,866,5016
41804009,3062,1990,920,1990,5718
41804010,3082,2140,2140,631,5641
41804011,3126,1692,1692,809,5598
41804012,3401,2796,2796,305,6774
41804013,2465,2246,2246,104,5035
41804014,3386,2911,2911,176,6167
41804015,2734,2426,2426,117,5917
41804016,3343,2802,2802,224,6913
41804017,3883,3619,3619,99,5939
41804018,2994,2588,2588,131,5317
41804019,3628,2760,2760,92,5926
41804020,2938,2509,2509,164,5383
41804021,3276,2704,2704,344,5693
41804022,3180,2778,2778,108,5638
41804023,2509,2240,2240,111,5105
41804024,1863,1513,1513,249,4552
41804025,3131,1570,1570,1380,5742
41804026,3142,2619,2619,245,5477
41804027,2799,1652,989,1652,5179
41804028,2411,2124,2124,134,4291
41804029,2618,2162,2162,230,5051
41804030,2981,2568,2568,151,5712
41804031,2728,2347,2347,191,5565
41804032,3994,2346,1434,2346,7012
41804033,2888,1763,983,1763,5391
41804034,3737,2340,1173,2340,6495
41804035,2869,1440,1440,1278,5562
41804036,3732,1944,1489,1944,6534
41805001,2086,1741,1741,92,4072
41805002,1919,1079,1079,594,2971
41805003,1736,1341,1341,112,3314
41805004,1273,1110,1110,52,2435
41805005,1885,1395,1395,115,3241
41805006,1985,1589,1589,84,3879
41805007,1033,809,809,60,1923
41805008,1258,1011,1011,114,2854
41805009,2070,1853,1853,50,4003
41805010,1189,838,838,231,3006
41805011,2349,1979,1979,45,4634
41805012,1904,1151,460,1151,2891
41901001,1904,1211,1211,610,3247
41901002,2186,1865,1865,144,4072
41901003,1258,820,820,281,2767
41901004,1890,1113,1113,581,3783
41901005,1123,1017,1017,31,2777
41901006,1748,1306,1306,306,2878
41901007,1846,1541,1541,87,3803
41901008,2117,1760,1760,162,3685
41901009,1652,1034,1034,458,3125
41901010,1031,540,375,540,1817
41901011,1766,1435,1435,150,3233
41901012,1566,1327,1327,141,3231
41901013,1428,1233,1233,96,2520
41901014,1472,1151,1151,177,3252
41901015,1887,1030,1030,723,3440
41901016,1662,1262,1262,213,4479
41901017,1024,785,785,128,2788
41901018,1262,1051,1051,108,2772
41902001,1784,1589,1589,119,3084
41902002,1642,1402,1402,162,3028
41902003,2126,1262,1262,746,3360
41902004,2074,1813,1813,96,3249
41902005,1874,1629,1629,95,3263
41902006,1991,1630,1630,234,2920
41902007,2104,1868,1868,124,3432
41902008,1758,1560,1560,123,3096
41902009,1579,705,705,693,2774
41902010,2174,1659,339,1659,3112
41902011,1718,1412,1412,199,3221
41902012,1992,1738,1738,126,3472
41902013,1386,1203,1203,84,2609
41902014,1940,1533,1533,305,3750
41902015,2198,1563,1563,282,3638
41902016,1483,1277,1277,154,2857
41902017,2123,1783,1783,41,3628
41902018,2704,1472,987,1472,4715
41902019,2562,2329,2329,118,3964
41902020,2280,1281,1281,898,3566
41903001,1670,1394,1394,115,3011
41903002,2175,1769,1769,163,3865
41903003,1705,1469,1469,57,3503
41903004,1438,949,949,267,3034
41903005,1654,1418,1418,108,3122
41903006,1898,927,812,927,3237
41903007,1515,1153,1153,239,2803
41903008,1543,1355,1355,87,2743
41903009,2138,1999,1999,61,3660
41904001,4404,3715,3715,343,7251
41904002,2236,1678,1678,91,4289
41904003,2359,1885,1885,278,4263
41904004,3093,2619,2619,153,5120
41904005,3668,3333,3333,177,5891
41904006,1058,798,798,201,1866
41904007,2265,1369,1369,42,4456
41904008,2133,1631,1631,57,4265
41904009,2550,1704,1704,255,4908
41904010,2859,1427,1427,35,5041
41904011,2457,1975,1975,68,4915
41904012,3031,2082,2082,60,5774
41904013,2115,1597,1597,42,4249
41904014,2141,1685,1685,64,4058
41904015,2396,1865,1865,63,4898
41904016,2637,1882,1882,81,5275
41904017,2773,1853,1853,119,5484
41904018,3098,2185,2185,99,5244
41904019,2845,2192,2192,99,4889
41904020,2209,1700,1700,70,4401
41904021,2600,1904,1904,112,5143
41904022,4657,2575,2575,1843,7930
41904023,2312,1735,1735,87,4315
41904024,3483,2731,2731,114,6371
41904025,2080,1607,1607,96,4567
41904026,2426,2049,2049,67,4554
41904027,2293,1670,1670,71,4382
41904028,2885,2153,2153,106,5512
41904029,2945,2098,2098,104,6095
41904030,2023,1552,1552,68,4478
41904031,2585,1788,1788,77,4787
41904032,2731,2177,2177,78,5027
41904033,2880,2322,2322,71,5665
41904034,2252,1527,1527,67,5989
41904035,2381,1701,1701,75,5227
41905001,940,478,478,373,1304
41905002,1965,1720,1720,181,3253
41905003,1918,1031,1031,545,3445
41905004,1809,1381,1381,364,3215
41905005,1443,1104,1104,205,2621
41905006,1599,1478,1478,60,2806
41905007,1965,1366,1366,478,3310
41905008,2904,2450,2450,266,4625
41906001,1575,1223,1223,192,2816
41906002,1884,934,934,285,2648
41906003,1476,1069,1069,136,3198
41906004,1906,1557,1557,43,3176
41906005,1265,1114,1114,4,2532
41906006,1468,1242,1242,34,3150
41906007,1792,902,902,679,3826
41906008,1732,1189,1189,428,3193
41906009,1417,1168,1168,140,2618
42001001,2015,1677,1677,108,3887
42001002,1530,913,913,359,3094
42001003,2217,1584,484,1584,3552
42001004,1877,1539,1539,77,3253
42001005,1771,1475,1475,136,3583
42001006,1165,929,929,95,2843
42001007,1470,1141,1141,164,2933
42001008,1815,1336,1336,223,3688
42001009,1992,1508,1508,232,3507
42001010,1772,1332,1332,169,2986
42001011,1397,1060,1060,113,2657
42001012,1758,1268,1268,166,3194
42001013,2380,1463,1463,351,3905
42001014,1590,1025,1025,232,2857
42001015,1608,1178,1178,139,3014
42001016,1963,1256,509,1256,3267
42001017,2877,2387,234,2387,4296
42001018,1390,1118,1118,86,2190
42001019,2011,1802,1802,87,3460
42001020,2074,1955,1955,63,3742
42001021,1951,1738,1738,109,3377
42001022,1682,1478,1478,114,3227
42001023,1236,720,720,407,2956
42001024,1050,947,947,50,2681
42001025,2062,977,955,977,3468
42003001,1425,738,738,426,2840
42003002,1879,1584,1584,248,2975
42003003,1976,921,921,651,3314
42003004,1457,1338,1338,52,3041
42003005,1382,1231,1231,76,2892
42003006,1118,886,886,142,2084
42003007,1897,1730,1730,75,3514
42003008,2236,1811,1811,276,3778
42003009,1872,1568,1568,191,3235
42003010,2172,1923,1923,129,3429
42003011,1803,1570,1570,130,2889
42003012,2114,1894,1894,132,3361
42003013,2513,2184,71,2184,3803
42003014,1994,1702,1702,202,3015
42003015,1749,1452,1452,38,3373
42003016,1556,1351,1351,35,2874
42003017,2167,1947,1947,191,3605
42003018,2595,2145,257,2145,4022
42003019,2194,1927,1927,162,3543
42003020,1451,702,702,596,2729
42004001,2129,1631,1631,444,4043
42004002,1537,1353,1353,153,3023
42004003,2113,1703,1703,391,3640
42004004,1834,1489,1489,273,3099
42004005,1992,1255,1255,649,3085
42004006,1457,1270,1270,178,3098
42004007,1468,1316,1316,105,2714
42004008,1767,1552,1552,189,3667
42004009,1206,1052,1052,153,2762
42004010,1565,1388,1388,161,3000
42004011,1916,1628,1628,266,3504
42004012,1473,1220,1220,217,3043
42004013,1920,1708,1708,168,4092
42004014,3312,2780,433,2780,4789
42004015,2341,1905,363,1905,4043
42004016,2534,2247,197,2247,3730
42004017,2211,1370,727,1370,4020
42004018,1167,921,203,921,1892
42004019,2393,1991,1991,335,4889
42004020,1624,1002,1002,566,3013
42004021,1427,1216,1216,191,2922
42005001,1793,1580,1580,140,2755
42005002,2174,1842,1842,169,3654
42005003,1620,1355,1355,103,2804
42005004,1644,769,769,404,2750
42005005,2349,1042,916,1042,3899
42005006,1709,1097,1097,132,3109
42005007,1866,1534,1534,120,3322
42005008,2142,1617,1617,263,3454
42005009,1764,1584,1584,66,3051
49400001,3492,3211,3211,99,6566
49400002,3826,3542,3542,114,7496
49400003,3682,3326,3326,127,6931
49400004,3500,3168,3168,104,6594
